Date,Meal_Type,Day,Month,Year,Students_Registered,Students_Present,Faculty_Present,Staff_Present,Visitors,Hostel_Students,Total_Campus_Population,Scheduled_Classes,Exam_Period,Holiday,Semester_Week,Weather,Temperature_C,Rainfall_mm,Humidity,Campus_Event,Special_Menu,Menu_Category,Meal_Price,Previous_Day_Meals_Sold,Previous_Week_Average,Meals_Sold,Meals_Prepared,Food_Waste_kg
2020-01-01,Lunch,Wednesday,January,2020,2051,1441,197,68,35,552,1741,5,No,No,17,Rainy,20,39,66,Cultural Fest,No,South Indian,57,2045,1318,2340,2461,13.01
2020-01-02,Dinner,Thursday,January,2020,2134,1975,87,148,36,831,2246,7,No,No,5,Rainy,37,61,58,No Event,No,South Indian,71,577,822,1335,1376,3.35
2020-01-03,Lunch,Friday,January,2020,2100,1434,161,115,33,648,1743,6,No,No,11,Sunny,27,0,55,No Event,No,Indian,105,1401,857,1729,1805,9.86
2020-01-04,Lunch,Saturday,January,2020,1598,1454,138,94,25,603,1711,6,No,No,16,Sunny,20,0,79,Cultural Fest,Yes,Chinese,81,1130,1942,2628,2728,11.46
2020-01-05,Breakfast,Sunday,January,2020,2418,1966,109,120,21,676,2216,6,No,No,3,Sunny,19,0,74,Convocation,No,Chinese,80,1470,1203,2012,2111,8.35
2020-01-06,Breakfast,Monday,January,2020,1367,904,146,122,23,650,1195,7,No,No,12,Sunny,27,0,65,No Event,No,South Indian,116,744,1849,863,905,3.37
2020-01-07,Breakfast,Tuesday,January,2020,1576,1244,134,135,11,872,1524,5,Yes,No,15,Sunny,23,0,67,No Event,No,Continental,79,812,1497,1058,1146,10.26
2020-01-08,Dinner,Wednesday,January,2020,2467,2208,113,82,10,450,2413,3,Yes,No,4,Cloudy,31,0,74,Sports Day,No,Chinese,55,644,1744,1730,1777,5.03
2020-01-09,Lunch,Thursday,January,2020,1806,1567,122,129,20,529,1838,7,No,No,13,Cloudy,31,0,71,Placement Drive,Yes,South Indian,70,874,1364,2458,2597,13.27
2020-01-10,Lunch,Friday,January,2020,2210,1760,107,92,15,635,1974,3,No,No,8,Sunny,37,0,49,Placement Drive,No,Indian,92,1702,2446,2065,2146,8.14
2020-01-11,Breakfast,Saturday,January,2020,1788,1623,116,137,35,574,1911,3,Yes,No,14,Sunny,22,0,62,Placement Drive,No,South Indian,98,1225,635,1529,1633,9.48
2020-01-12,Dinner,Sunday,January,2020,2394,1642,168,121,6,503,1937,3,No,No,4,Sunny,23,0,63,No Event,No,Indian,64,1504,1305,1121,1245,10.75
2020-01-13,Dinner,Monday,January,2020,2430,2242,109,143,27,527,2521,6,No,No,10,Rainy,26,25,67,No Event,No,South Indian,106,1841,2058,1477,1621,17.47
2020-01-14,Breakfast,Tuesday,January,2020,2377,2148,150,75,23,568,2396,3,No,No,1,Sunny,21,0,63,No Event,No,Chinese,76,681,815,1543,1605,6.74
